Word Pair,Similarity
barnaby-innocent,0.16627204
gordon-protestant,0.5690308
riots-violence,0.5055274
haredale-revenge,0.31484404
london-city,0.52330875
crowd-mob,0.5409568
grip-raven,0.71418506
